| Year 1, Spring, day 60 8:00:00 AM | evac shelter | Russel Talley began their journey into the Cataclysm.
| Year 1, Spring, day 64 11:43:37AM | forest | Killed a mi-go.
| Year 1, Spring, day 67 8:33:08 AM | doctor's office | Set off an alarm.
| Year 1, Spring, day 67 6:12:01 PM | road | Fell off a mount.
| Year 1, Spring, day 68 6:44:07 PM | farm house | Reached skill level 4 in first aid.
| Year 1, Spring, day 74 9:47:25 AM | doctor's office roof | Installed bionic: Enhanced Hearing.
| Year 1, Spring, day 74 11:38:42AM | doctor's office roof | Installed bionic: Targeting System.
| Year 1, Spring, day 74 1:18:56 PM | doctor's office roof | Installed bionic: Telescopic Eyes.
| Year 1, Spring, day 77 7:38:17 AM | field | Killed a mi-go.
| Year 1, Spring, day 77 12:04:54PM | road | Killed a prototype robot.
| Year 1, Spring, day 78 1:44:39 PM | farm house | Reached skill level 4 in fabrication.
| Year 1, Spring, day 79 7:41:12 PM | house | Became wanted by the police!
| Year 1, Spring, day 80 8:48:19 PM | farm house | Reached skill level 4 in cooking.
| Year 1, Spring, day 83 12:55:48AM | farm house | Reached skill level 4 in tailoring.
| Year 1, Spring, day 84 12:53:39PM | road | Killed a mi-go.
| Year 1, Spring, day 84 3:05:08 PM | subway station | Set off an alarm.
| Year 1, Spring, day 84 3:06:34 PM | subway station | Set off an alarm.
| Year 1, Spring, day 85 4:51:31 AM | doctor's office roof | Installed bionic: Alarm System.
| Year 1, Spring, day 85 5:21:45 AM | doctor's office roof | Failed install of bionic: Cranial Flashlight.
| Year 1, Spring, day 85 7:09:29 AM | doctor's office roof | Installed bionic: Ethanol Burner.
| Year 1, Spring, day 88 3:24:06 PM | field | Killed a mi-go.
| Year 1, Spring, day 88 3:31:22 PM | field | Killed a mi-go.
| Year 1, Spring, day 88 3:35:58 PM | field | Killed a mi-go.
| Year 1, Spring, day 88 5:12:55 PM | subway | Killed a zombie bio-operator.
| Year 1, Spring, day 90 9:43:53 AM | science lab | Killed a feral predator.
| Year 1, Summer, day 0 12:45:35AM | science lab | Worn <color_c_dark_gray>XX </color>jeans was completely destroyed.
| Year 1, Summer, day 0 1:29:18 AM | science lab | Set off an alarm.
| Year 1, Summer, day 1 6:06:40 PM | farm house | Reached skill level 8 in computers.
| Year 1, Summer, day 3 1:45:01 AM | research facility, second floor | Killed a feral predator.
| Year 1, Summer, day 3 10:22:12PM | research facility, third floor | Worn <color_c_dark_gray>XX </color>long-sleeved shirt was completely destroyed.
| Year 1, Summer, day 6 5:30:17 PM | doctor's office roof | Installed bionic: Power Storage.
| Year 1, Summer, day 6 5:50:29 PM | doctor's office roof | Installed bionic: Power Storage.
| Year 1, Summer, day 6 6:20:41 PM | doctor's office roof | Installed bionic: Cranial Flashlight.
| Year 1, Summer, day 6 9:27:27 PM | subway station (underground level) | Gained the mutation 'Debug Bionic Power'.
| Year 1, Summer, day 6 9:27:27 PM | subway station (underground level) | Gained the mutation 'Debug Bionic Powergen'.
| Year 1, Summer, day 7 5:01:13 PM | field | Worn <color_c_dark_gray>XX </color>jeans was completely destroyed.
| Year 1, Summer, day 8 11:36:30AM | farm house | Reached skill level 8 in first aid.
| Year 1, Summer, day 9 2:23:58 PM | road | Killed a zombear.
| Year 1, Summer, day 10 3:34:54 AM | farm house | Reached skill level 8 in electronics.
| Year 1, Summer, day 10 5:20:08 PM | science lab | Installed bionic: Cerebral Booster.
| Year 1, Summer, day 10 8:10:09 PM | science lab | Installed bionic: Repair Nanobots.
| Year 1, Summer, day 10 10:10:23PM | science lab | Installed bionic: Recycler Unit.
| Year 1, Summer, day 11 12:30:24AM | science lab | Failed install of bionic: Synaptic Regeneration System.
| Year 1, Summer, day 11 11:35:00PM | science lab | Failed install of bionic: Synaptic Regeneration System.
| Year 1, Summer, day 12 2:45:05 AM | science lab | Installed bionic: Implanted Night Vision.
| Year 1, Summer, day 12 5:15:06 AM | science lab | Installed bionic: Battery System.
| Year 1, Summer, day 12 6:15:07 AM | science lab | Installed bionic: Blood Analysis.
| Year 1, Summer, day 12 7:05:08 AM | science lab | Installed bionic: Blood Filter.
| Year 1, Summer, day 12 8:37:50 AM | field | Killed a zombie wrestler.
| Year 1, Summer, day 13 4:23:49 AM | science lab | Installed bionic: Synaptic Regeneration System.
| Year 1, Summer, day 13 6:23:54 AM | science lab | Installed bionic: Joint Servo.
| Year 1, Summer, day 13 7:55:46 AM | science lab | Installed bionic: Shockwave Generator.
| Year 1, Summer, day 13 9:45:47 AM | science lab | Installed bionic: Integrated Toolset.
| Year 1, Summer, day 13 12:35:48PM | science lab | Failed install of bionic: Diamond Cornea.
| Year 1, Summer, day 13 4:16:02 PM | science lab | Installed bionic: Wired Reflexes.
| Year 1, Summer, day 13 9:03:38 PM | science lab | Installed bionic: Respirator.
| Year 1, Summer, day 13 10:33:45PM | science lab | Installed bionic: Internal Unified Power System.
| Year 1, Summer, day 13 11:43:46PM | science lab | Installed bionic: Cable Charger System.
| Year 1, Summer, day 14 5:45:20 AM | science lab | Installed bionic: Diamond Cornea.
| Year 1, Summer, day 14 8:05:27 AM | science lab | Installed bionic: Alloy Plating - Arms.
| Year 1, Summer, day 14 9:05:32 AM | science lab | Installed bionic: Integrated Dosimeter.
| Year 1, Summer, day 14 10:35:33AM | science lab | Installed bionic: Infrared Vision.
| Year 1, Summer, day 14 11:46:38AM | science lab | Installed bionic: Internal Chronometer.
| Year 1, Summer, day 14 12:29:47PM | road | Contracted a fungal infection.
| Year 1, Summer, day 14 12:49:14PM | road | Cured the fungal infection.
| Year 1, Summer, day 14 2:30:43 PM | road | Killed a jabberwock.
| Year 1, Summer, day 15 6:38:55 AM | research facility, second floor | Killed a zombie master.
| Year 1, Summer, day 16 10:34:11AM | farm house | Became addicted to caffeine.
